,Site,Publication,Period,Lower_context_date,Upper_context_date,Amphora_type,Provenance,Frequency,Notes,Amphora_type_lower_date,Amphora_type_upper_date,Pleiades URI,Latitude,Longitude,site,Grouped_sites,Site_type,Site_notes,Amphora_type_main,amphora_type,problems,content,Amphora_type_notes
0,acqui terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25.0,100.0,dr 6a,adriatic italy,3.0,via Gramsci kon IBC - IAD,-25.0,50.0,https://pleiades.stoa.org/places/383574,44.675532,8.470658,acqui terme,acqui terme,urban,,dr 6a,dr 6a,,wine,
1,acqui terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25.0,100.0,dr 6b,adriatic italy,7.0,via Gramsci kon IBC - IAD,1.0,150.0,https://pleiades.stoa.org/places/383574,44.675532,8.470658,acqui terme,acqui terme,urban,,dr 6b,dr 6b,,olive oil,
2,acqui terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25.0,100.0,dr 7-13,baetica,26.0,via Gramsci kon IBC - IAD,-30.0,150.0,https://pleiades.stoa.org/places/383574,44.675532,8.470658,acqui terme,acqui terme,urban,,dr 7-13,dr 7-13,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
3,acqui terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25.0,100.0,haltern 70,baetica,1.0,via Gramsci kon IBC - IAD,-80.0,192.0,https://pleiades.stoa.org/places/383574,44.675532,8.470658,acqui terme,acqui terme,urban,,haltern 70,haltern 70,,defrutum,
4,acqui terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25.0,100.0,dr 2-4_5,tyrrhenian italy,4.0,via Gramsci kon IBC - IAD,-70.0,225.0,https://pleiades.stoa.org/places/383574,44.675532,8.470658,acqui terme,acqui terme,urban,,dr 2-4,dr 2-4,,wine,
5,acqui terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25.0,100.0,dr 20,baetica,1.0,via Gramsci kon IBC - IAD,1.0,300.0,https://pleiades.stoa.org/places/383574,44.675532,8.470658,acqui terme,acqui terme,urban,,dr 20,dr 20,,olive oil,
6,acqui terme,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,-25.0,100.0,dr 7-11,gaul,5.0,via Gramsci kon IBC - IAD,-30.0,96.0,https://pleiades.stoa.org/places/383574,44.675532,8.470658,acqui terme,acqui terme,urban,,dr 7-11,dr 7-11,"probably all these types should be merged, because they have the same content and provenance, but because they were separated in the publications I used (I have found no explanation why? different workshops?) I left them like this",fish sauce,
7,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,dr 6a,adriatic italy,30.0,"I-II AD,",-25.0,50.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,alba libarna,libarna,urban,,dr 6a,dr 6a,,wine,
8,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,dr 6b,adriatic italy,127.0,"I-II AD,",1.0,150.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,alba libarna,libarna,urban,,dr 6b,dr 6b,,olive oil,
9,alba libarna,"Bruno 1998., Importazione di merci e itinerari commerciali nella Liguria Transappenninica, in Sena Chiesa, G. and Arslan, E.A. ed. 
Optima Via. Atti del convegno internazionale di studi ""Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa"", Cremona 13 - 15 giugno 1996, p. 329-343.",EI,1.0,200.0,dr 6a/6b_1,adriatic italy,119.0,"I-II AD,",1.0,150.0,https://pleiades.stoa.org/places/383694,44.7148917,8.8610596,alba libarna,libarna,urban,,dr 6a/6b,dr 6a/6b,,unknown,
